,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
099,-11.3515625,-7.18359375,-5.55078125,-10.0,-10.3046875,-8.7734375,-6.72265625,-10.7109375,-9.9375,-9.09375
100,-9.4765625,-10.0234375,-5.02734375,-10.4296875,-9.359375,-10.890625,-6.56640625,-9.7734375,-10.03125,-12.703125
101,-9.25,-7.65234375,-5.91796875,-10.4921875,-7.83203125,-8.7890625,-8.6171875,-9.9609375,-7.10546875,-10.546875
102,-10.2578125,-8.796875,-6.31640625,-10.5859375,-9.7421875,-10.265625,-6.69921875,-9.5859375,-8.1640625,-10.3984375
103,-9.7734375,-9.546875,-6.6015625,-9.1796875,-9.046875,-10.125,-7.671875,-9.921875,-8.7265625,-10.0234375
104,-7.12890625,-8.328125,-6.58203125,-8.09375,-9.3359375,-11.9140625,-5.72265625,-9.203125,-9.5390625,-10.1171875
105,-10.09375,-9.890625,-7.203125,-9.90625,-10.4609375,-10.890625,-6.5,-10.6484375,-10.75,-10.5859375
106,-9.25,-9.7890625,-8.0390625,-8.484375,-11.5703125,-10.359375,-6.640625,-9.6640625,-11.4453125,-11.09375
107,-9.9453125,-9.1484375,-8.546875,-8.4609375,-11.5859375,-10.8359375,-6.453125,-10.078125,-11.53125,-10.5390625
108,-6.85546875,-8.40625,-5.17578125,-10.1640625,-12.34375,-12.28125,-7.64453125,-13.5234375,-10.515625,-9.6796875
109,-8.578125,-8.71875,-6.87890625,-9.828125,-11.1796875,-10.2890625,-7.19140625,-11.9296875,-11.15625,-11.3359375
110,-6.09375,-9.21875,-5.515625,-9.640625,-9.6484375,-11.3046875,-6.203125,-12.203125,-10.5625,-11.96875
111,-7.47265625,-7.27734375,-4.97265625,-7.93359375,-10.9375,-8.453125,-8.0,-11.71875,-8.6796875,-10.8515625
112,-6.8203125,-6.34375,-4.0,-6.640625,-8.4921875,-9.625,-7.109375,-8.078125,-7.9453125,-9.796875
113,-8.59375,-8.8359375,-5.46484375,-8.1875,-9.296875,-8.9765625,-7.82421875,-10.5,-9.5,-10.515625
114,-6.97265625,-8.1796875,-5.01171875,-8.5,-10.0703125,-9.25,-5.21484375,-10.5625,-9.7265625,-10.2265625
115,-7.76171875,-8.703125,-5.92578125,-8.7734375,-10.640625,-9.28125,-6.00390625,-10.5703125,-11.4609375,-10.0546875
116,-7.43359375,-8.671875,-5.84765625,-7.38671875,-11.4453125,-8.71875,-5.73046875,-9.296875,-11.0625,-9.890625
117,-10.3359375,-9.6875,-6.68359375,-9.890625,-11.0703125,-9.5703125,-6.73828125,-10.6171875,-11.421875,-10.0546875
118,-5.484375,-7.9765625,-6.7734375,-9.0,-11.390625,-8.8515625,-6.390625,-13.03125,-11.578125,-10.328125
119,-8.0234375,-9.0390625,-5.21484375,-9.3125,-9.9921875,-7.87890625,-6.29296875,-11.71875,-11.0234375,-9.59375
120,-10.84375,-9.5390625,-6.6640625,-11.09375,-9.21875,-11.28125,-5.1953125,-9.9453125,-11.6640625,-10.578125
121,-8.1015625,-8.5390625,-6.296875,-12.0078125,-6.9140625,-8.8671875,-7.8125,-11.5546875,-9.0,-10.1875
122,-10.6171875,-7.19921875,-5.47265625,-9.71875,-7.94921875,-8.0703125,-5.88671875,-9.203125,-8.015625,-9.640625
123,-12.25,-10.0,-6.7734375,-9.1328125,-7.71875,-9.1015625,-8.25,-9.578125,-9.1171875,-10.5859375
124,-9.3046875,-7.625,-6.1953125,-8.3046875,-8.7578125,-9.4375,-5.984375,-9.5546875,-9.59375,-9.671875
125,-9.0234375,-6.11328125,-6.38671875,-10.203125,-8.421875,-8.4453125,-8.9140625,-10.6953125,-10.1484375,-11.828125
126,-10.7265625,-9.875,-6.6015625,-10.453125,-10.984375,-8.8984375,-6.890625,-9.09375,-10.7734375,-10.125
127,-10.703125,-6.484375,-6.4453125,-10.0546875,-9.046875,-8.21875,-7.203125,-8.6640625,-9.3359375,-10.0703125
128,-10.6328125,-6.8203125,-5.1953125,-10.6875,-9.4609375,-10.625,-9.296875,-10.2421875,-9.1640625,-9.9765625
129,-11.625,-8.4921875,-6.1171875,-10.5859375,-10.5625,-9.0546875,-7.8671875,-10.1484375,-10.265625,-10.640625
130,-10.5546875,-8.6796875,-6.1328125,-8.75,-8.1875,-9.765625,-5.5625,-9.7734375,-8.53125,-11.4140625
131,-10.8984375,-8.296875,-6.15234375,-8.7265625,-8.7421875,-8.71875,-7.42578125,-10.1484375,-8.3984375,-11.0234375
132,-11.125,-8.15625,-5.98046875,-8.8515625,-8.625,-9.7890625,-5.87890625,-8.9140625,-8.3203125,-10.234375
133,-12.53125,-9.4296875,-6.44140625,-8.8359375,-8.6953125,-9.46875,-7.96484375,-10.28125,-8.734375,-12.140625
134,-10.453125,-8.2109375,-6.80859375,-8.4140625,-9.1015625,-10.3046875,-5.87109375,-9.8984375,-9.015625,-11.65625
135,-11.7109375,-9.4296875,-6.70703125,-9.9296875,-9.75,-10.5703125,-6.21484375,-10.640625,-10.4921875,-11.15625
136,-10.6015625,-6.93359375,-6.45703125,-7.62109375,-10.484375,-9.5703125,-5.01171875,-8.875,-10.3671875,-10.265625
137,-9.265625,-9.0859375,-7.80078125,-9.53125,-11.4921875,-8.5546875,-6.16015625,-9.7421875,-11.140625,-10.328125
138,-9.9921875,-8.984375,-6.4609375,-8.8828125,-9.6875,-9.0,-5.359375,-11.0,-9.7265625,-10.4140625
139,-10.8984375,-8.734375,-6.609375,-9.2109375,-10.4453125,-8.5703125,-6.0625,-10.5859375,-11.03125,-11.2734375
140,-7.6953125,-7.109375,-4.609375,-9.1875,-7.078125,-7.8125,-3.095703125,-8.34375,-8.75,-10.484375
141,-8.8203125,-8.109375,-5.18359375,-8.875,-8.8046875,-8.4296875,-5.51953125,-10.34375,-8.7109375,-9.5390625
142,-9.40625,-6.9375,-5.0234375,-9.421875,-8.34375,-8.46875,-4.46875,-9.828125,-8.5703125,-9.7109375
143,-7.03125,-4.8828125,-3.490234375,-7.2890625,-8.3671875,-5.5859375,-6.1484375,-8.875,-6.9140625,-8.71875
144,-10.921875,-10.90625,-6.59375,-11.9140625,-10.875,-12.3515625,-6.5859375,-12.2578125,-13.2109375,-12.046875
145,-9.0703125,-8.0625,-6.21875,-9.4765625,-8.9765625,-8.9296875,-4.828125,-10.515625,-10.4140625,-10.1796875
146,-9.171875,-7.8359375,-6.140625,-8.40625,-10.140625,-8.3515625,-4.5703125,-9.6796875,-10.3515625,-9.34375
147,-11.6328125,-9.828125,-7.25390625,-9.921875,-10.3046875,-8.9453125,-5.74609375,-10.421875,-11.296875,-10.53125
148,-8.90625,-8.5703125,-6.1328125,-8.796875,-9.390625,-8.375,-5.21875,-11.3671875,-9.8046875,-9.5703125
149,-9.828125,-9.0,-6.53125,-10.1640625,-10.546875,-7.671875,-6.578125,-11.453125,-11.046875,-10.5234375
150,-9.796875,-8.4921875,-5.82421875,-10.015625,-8.6328125,-8.1484375,-4.93359375,-9.734375,-10.4765625,-10.4375
151,-9.5703125,-5.90625,-5.046875,-9.2265625,-8.2421875,-5.9765625,-6.65625,-9.984375,-8.671875,-8.4375
152,-9.3828125,-7.9375,-5.171875,-9.0546875,-9.265625,-8.4765625,-5.15625,-9.0546875,-9.4140625,-8.8359375
153,-10.7890625,-8.5,-5.96875,-8.296875,-10.21875,-9.0234375,-7.578125,-9.7109375,-10.3203125,-9.359375
154,-8.703125,-7.62890625,-6.21484375,-8.984375,-9.34375,-8.640625,-4.89453125,-10.2265625,-10.0625,-9.7109375
155,-10.0078125,-7.4609375,-5.890625,-8.7421875,-9.96875,-8.1328125,-5.7890625,-10.234375,-11.2734375,-9.7265625
156,-10.203125,-8.7265625,-6.1875,-9.125,-10.9453125,-8.234375,-5.7109375,-9.515625,-11.828125,-9.53125
157,-11.0703125,-8.625,-7.0,-9.703125,-10.8828125,-8.8125,-6.0234375,-9.8046875,-12.40625,-9.6484375
158,-9.328125,-8.078125,-6.2734375,-9.0625,-9.9765625,-7.90625,-5.8203125,-10.6796875,-10.9296875,-9.296875
159,-10.1640625,-8.640625,-6.0859375,-10.0546875,-11.125,-7.8984375,-6.0625,-10.453125,-12.15625,-9.3984375
160,-9.7421875,-7.65234375,-4.26953125,-8.8515625,-8.7421875,-9.0859375,-3.923828125,-7.99609375,-10.140625,-8.7421875
161,-10.140625,-8.0859375,-5.30078125,-9.7421875,-9.78125,-9.203125,-5.59765625,-8.9296875,-10.609375,-8.421875
162,-10.1875,-9.28125,-6.0859375,-11.1796875,-9.3125,-9.59375,-5.625,-9.828125,-10.296875,-9.65625
163,-11.4453125,-9.03125,-5.98828125,-9.828125,-9.421875,-9.75,-6.40234375,-9.765625,-10.6328125,-9.265625
164,-9.34375,-7.44140625,-4.93359375,-8.2265625,-9.171875,-9.2890625,-4.55859375,-9.7265625,-10.4921875,-9.234375
165,-10.765625,-7.58984375,-6.30859375,-9.5703125,-9.40625,-9.125,-4.85546875,-9.7109375,-11.1875,-9.3046875
166,-10.96875,-8.1953125,-5.7578125,-8.953125,-10.03125,-8.5546875,-5.0234375,-9.078125,-11.1953125,-9.7734375
167,-11.9375,-9.1796875,-7.1171875,-9.1640625,-10.7890625,-9.7109375,-5.6640625,-9.546875,-12.640625,-9.609375
168,-9.5625,-8.4453125,-4.53125,-8.40625,-7.90625,-9.15625,-5.34375,-9.34375,-10.0078125,-9.5
169,-11.6328125,-9.1953125,-7.5234375,-11.9296875,-9.0703125,-8.828125,-7.5,-12.0703125,-11.875,-12.890625
170,-10.6484375,-9.0859375,-7.1015625,-9.8828125,-9.1171875,-10.8515625,-3.515625,-9.5546875,-11.4453125,-9.53125
171,-10.984375,-8.6171875,-6.28515625,-9.59375,-9.9140625,-9.8671875,-5.15234375,-9.6953125,-10.28125,-8.8125
172,-10.484375,-8.125,-6.46875,-9.5078125,-8.5859375,-10.3203125,-4.09375,-9.1015625,-10.2734375,-8.671875
173,-10.265625,-8.671875,-6.62890625,-8.7421875,-8.078125,-9.625,-5.18359375,-9.625,-9.6796875,-9.0
174,-9.8046875,-8.5,-6.77734375,-9.609375,-9.7265625,-10.140625,-4.19140625,-10.2578125,-10.6796875,-9.1875
175,-10.0546875,-7.3203125,-6.4296875,-9.15625,-7.9765625,-9.015625,-5.046875,-9.8359375,-10.5703125,-9.859375
176,-9.796875,-7.05078125,-6.30078125,-7.41796875,-10.015625,-9.9453125,-4.71484375,-9.3203125,-10.8046875,-8.328125
177,-12.125,-9.21875,-8.3671875,-9.40625,-10.46875,-9.5703125,-6.14453125,-10.7734375,-11.6328125,-9.859375
178,-10.0859375,-8.6171875,-7.4765625,-9.0078125,-9.4609375,-9.234375,-5.3046875,-11.875,-9.9921875,-9.265625
179,-11.0546875,-9.4296875,-7.7734375,-10.46875,-10.9453125,-9.7109375,-6.09375,-11.8046875,-11.8359375,-9.5859375
180,-14.75,-8.78125,-8.1328125,-12.6484375,-9.53125,-11.0703125,-4.55078125,-12.4375,-12.125,-11.5234375
181,-9.2109375,-8.2890625,-5.8359375,-9.828125,-8.9140625,-9.140625,-5.8671875,-11.0234375,-8.59375,-8.1640625
182,-8.6328125,-6.66015625,-5.48046875,-9.0078125,-7.51953125,-8.046875,-4.85546875,-10.09375,-7.74609375,-8.5859375
183,-9.875,-8.421875,-6.54296875,-8.2421875,-8.40625,-9.109375,-6.30859375,-10.5390625,-8.9375,-9.1171875
184,-6.90625,-6.515625,-6.0625,-7.75,-8.6875,-9.6328125,-4.25,-10.5078125,-9.171875,-8.1953125
185,-8.546875,-6.84375,-6.625,-9.0703125,-9.046875,-8.65625,-5.046875,-11.0078125,-10.46875,-8.6875
186,-8.9609375,-6.5703125,-7.296875,-9.328125,-9.9375,-7.796875,-4.328125,-10.6640625,-10.890625,-8.6015625
187,-9.3828125,-7.83984375,-6.73046875,-7.16796875,-7.82421875,-8.15625,-5.45703125,-9.8515625,-10.1875,-9.171875
188,-8.015625,-7.2734375,-5.3359375,-8.03125,-7.71875,-7.9921875,-5.578125,-12.171875,-8.9609375,-8.96875
