,agent0_kangaroo,agent0_koala,agent0_lion,agent0_elephant,agent0_giraffe,agent0_dolphin,agent1_kangaroo,agent1_koala,agent1_lion,agent1_elephant,agent1_giraffe,agent1_dolphin,agent2_kangaroo,agent2_koala,agent2_lion,agent2_elephant,agent2_giraffe,agent2_dolphin,agent3_kangaroo,agent3_koala,agent3_lion,agent3_elephant,agent3_giraffe,agent3_dolphin,agent4_kangaroo,agent4_koala,agent4_lion,agent4_elephant,agent4_giraffe,agent4_dolphin,agent5_kangaroo,agent5_koala,agent5_lion,agent5_elephant,agent5_giraffe,agent5_dolphin,agent0_panda,agent0_penguin,agent0_chimpanzee,agent0_orangutan,agent1_panda,agent1_penguin,agent1_chimpanzee,agent1_orangutan,agent2_panda,agent2_penguin,agent2_chimpanzee,agent2_orangutan,agent3_panda,agent3_penguin,agent3_chimpanzee,agent3_orangutan,agent4_panda,agent4_penguin,agent4_chimpanzee,agent4_orangutan,agent5_panda,agent5_penguin,agent5_chimpanzee,agent5_orangutan,agent0_44,agent1_44,agent2_44,agent3_44,agent4_44,agent5_44
12,-4.934002876281738,-5.212816715240479,-7.569669246673584,-3.5077779293060303,-0.8364582061767578,-1.8015639781951904,-5.438450813293457,-4.875005722045898,-7.333972930908203,-1.2013273239135742,-1.5799633264541626,-1.023667335510254,-5.275820255279541,-6.467212200164795,-5.977229595184326,-1.1204599142074585,-1.8627430200576784,-0.9613832235336304,-7.286802291870117,-6.621603488922119,-6.55556583404541,-1.682949781417847,-3.3312466144561768,-0.3866127133369446,-8.412899017333984,-7.966018676757812,-7.291621208190918,-1.6092374324798584,-4.271447658538818,-0.4539564251899719,-8.067023277282715,-7.621325016021728,-8.199957847595215,-2.130450963973999,-4.0064802169799805,-0.5107667446136475,-6.188445568084717,-2.875529289245605,-8.327558517456055,-9.68262767791748,-6.10256290435791,-4.559264183044434,-7.404931545257568,-6.276025772094727,-6.387197017669678,-7.707180023193359,-6.534450054168701,-7.558568000793457,-6.9732160568237305,-8.740878105163574,-6.223700046539307,-6.4414567947387695,-6.757479667663574,-9.209535598754885,-5.663439750671387,-5.778422355651856,-7.148748397827148,-8.85801887512207,-6.44090747833252,-5.75004243850708,-1.681339979171753,-0.0595396272838115,-0.2657204568386078,-12.344437599182127,-25.638397216796875,-26.70561981201172
14,-4.308961868286133,-4.553197860717773,-7.510548114776611,-2.8994698524475098,-1.06000554561615,-1.347327709197998,-5.846352577209473,-5.22175407409668,-7.428990364074707,-0.9716904163360596,-1.8039436340332031,-0.9777882099151612,-6.47789192199707,-5.487367630004883,-7.515126228332519,-1.887884259223938,-2.35416579246521,-0.8235741853713989,-8.882038116455078,-9.30840301513672,-8.455334663391113,-3.1307201385498047,-6.268634796142578,-0.1076983213424682,-8.327648162841797,-8.094976425170898,-7.729825973510742,-2.634089469909668,-5.484677314758301,-0.2178276926279068,-8.192652702331543,-8.726933479309082,-8.319273948669434,-2.5417423248291016,-5.547684669494629,-0.1596317291259765,-5.415489673614502,-2.06813907623291,-8.01207160949707,-9.062960624694824,-6.0750732421875,-4.356771469116211,-7.402074337005615,-7.677175045013428,-5.827582359313965,-6.381162643432617,-6.365333557128906,-5.451379299163818,-7.675475120544434,-10.838099479675291,-7.100977897644043,-7.3064470291137695,-6.327369689941406,-9.594766616821287,-7.132601737976074,-7.469074249267578,-5.446192741394043,-9.601855278015137,-7.652149677276611,-7.792243003845215,-0.9484007954597472,-1.0441598892211914,-0.3985905945301056,-15.195425033569336,-20.92409896850586,-25.50567626953125
13,-4.627482891082764,-5.698946475982666,-7.410603523254394,-3.229952573776245,-1.2044175863265991,-1.0742642879486084,-4.644505977630615,-4.260606288909912,-7.668024063110352,-0.9907076358795166,-1.6498113870620728,-1.237520456314087,-5.6397552490234375,-5.479454040527344,-7.416957378387451,-1.322411298751831,-1.6879098415374756,-0.7544218897819519,-5.533566474914551,-4.7166361808776855,-6.470304489135742,-1.424325942993164,-2.24328088760376,-0.8062534928321838,-5.357455253601074,-6.2454915046691895,-6.766384124755859,-2.078911781311035,-3.886866569519043,-0.2691793441772461,-4.678385257720947,-5.855950355529785,-5.668943881988525,-1.947278380393982,-3.177820205688477,-0.3866666555404663,-5.391942977905273,-2.656869411468506,-7.903777599334717,-10.14361572265625,-5.219212532043457,-3.1712396144866943,-7.378891944885254,-7.621821403503418,-5.0201029777526855,-4.033329963684082,-6.874528884887695,-7.440262794494629,-5.928049087524414,-6.373333930969238,-6.5471906661987305,-5.225718021392822,-6.553261756896973,-7.676621913909912,-6.554676055908203,-6.448727130889893,-6.169363498687744,-7.908610820770264,-6.1400065422058105,-4.809848308563232,-0.0270519759505987,-0.4004605412483215,-0.4414806663990021,-7.995048522949219,-0.2441031783819198,-23.33196258544922
11,-4.451967716217041,-5.314499855041504,-7.291356563568115,-3.4606242179870605,-0.6192780137062073,-1.709084153175354,-3.8808417320251465,-3.411799669265747,-7.084476470947266,-1.6450626850128174,-0.7891601920127869,-2.1935245990753174,-4.595426559448242,-4.732065200805664,-7.189153671264648,-1.6629087924957275,-2.0515570640563965,-0.6200734972953796,-5.200706958770752,-5.84184455871582,-6.879257678985596,-1.2548613548278809,-2.2538883686065674,-0.6898074746131897,-6.761216163635254,-6.459722995758057,-7.713405609130859,-1.9162522554397583,-3.87716555595398,-0.4321156442165375,-7.347926616668701,-7.447716236114502,-7.804183483123779,-2.0026745796203613,-4.36209774017334,-0.3293614387512207,-5.771693706512451,-2.546574115753174,-8.17342758178711,-9.513001441955566,-4.923295021057129,-2.389523267745972,-7.938242435455322,-7.558125972747803,-5.241783142089844,-3.9225664138793945,-6.396208763122559,-7.190970420837402,-5.915672779083252,-4.675582885742188,-6.509209632873535,-5.988819122314453,-6.367280960083008,-7.4881415367126465,-5.407154083251953,-5.469663619995117,-6.71389627456665,-8.15013313293457,-5.897176742553711,-6.5697102546691895,-0.5671519637107849,-0.3642081022262573,-0.2378368824720382,-0.3493992686271667,-10.417622566223145,-17.3751220703125
18,-4.766693115234375,-5.639625072479248,-7.176316261291504,-3.441945075988769,-0.6500766277313232,-1.4793701171875,-4.408665657043457,-4.116653919219971,-7.663386821746826,-1.264210224151611,-1.223059892654419,-1.7854657173156738,-3.349650859832764,-3.830276489257813,-7.714999675750732,-1.9822211265563965,-1.35156512260437,-1.817931652069092,-2.809399604797364,-3.3839290142059326,-7.927384376525879,-2.539717674255371,-1.9075136184692385,-2.8025522232055664,-3.773991584777832,-4.972945690155029,-7.367122650146484,-2.03364372253418,-2.542771100997925,-0.708457887172699,-3.6613082885742174,-5.183177947998047,-7.456722259521484,-2.6822452545166016,-2.6833934783935547,-0.886228621006012,-6.073483467102051,-2.479054450988769,-8.363716125488281,-9.998061180114746,-4.9669270515441895,-2.605344295501709,-7.464419364929199,-7.366387367248535,-3.9194064140319824,-1.6908025741577148,-8.332221984863281,-8.494853973388672,-3.9669322967529297,-1.0077872276306152,-7.945428371429443,-8.759134292602539,-4.451314926147461,-3.715309858322144,-6.191786766052246,-7.794988632202148,-4.074640274047852,-2.7757012844085693,-6.167903423309326,-7.684797763824463,-0.1096709072589874,-0.2437838315963745,-0.1851440668106079,-0.9064065217971802,-11.075241088867188,-4.345760345458984
15,-4.907681941986084,-5.984058856964111,-7.370721817016602,-4.119015693664551,-0.4308405518531799,-1.8500348329544067,-7.428646087646484,-7.154621601104736,-7.900714874267578,-2.4341602325439453,-3.994412660598755,-0.1973494738340377,-8.440154075622559,-9.34882926940918,-9.099767684936523,-3.4536287784576416,-6.056042194366455,-0.1090357229113578,-8.50839614868164,-8.308676719665527,-8.19675064086914,-2.6707983016967773,-5.51788854598999,-0.2125616818666458,-8.536356925964355,-8.514670372009277,-8.7258939743042,-2.932379484176636,-5.5848917961120605,-0.2117831856012344,-8.394388198852539,-8.81545639038086,-8.517167091369629,-2.736249685287476,-5.743866443634033,-0.2198139876127243,-6.346366882324219,-2.816180467605591,-8.123760223388672,-10.110891342163086,-6.736924171447754,-7.887587547302246,-6.2018351554870605,-7.179749965667725,-7.657608985900879,-9.68793487548828,-7.040787220001221,-9.206019401550291,-7.004876136779785,-10.098201751708984,-6.809154510498047,-7.000458717346191,-7.404875755310059,-10.17689323425293,-7.153794288635254,-7.051762104034424,-7.544251918792725,-10.28365993499756,-7.0328145027160645,-7.4585347175598145,-0.0246149078011512,-6.69924259185791,-7.147422790527344,-19.52953338623047,-18.60664176940918,-16.52950096130371
9,-4.906581878662109,-5.535841464996338,-7.769335746765137,-3.706601142883301,-0.736600399017334,-1.6590595245361328,-5.223333358764648,-4.421613693237305,-7.091996192932129,-1.0175487995147705,-2.2312960624694824,-0.93105810880661,-4.98884391784668,-4.718415260314941,-7.931343078613281,-1.268489122390747,-1.947176218032837,-0.7170059084892273,-6.582526206970215,-6.67269229888916,-8.237955093383789,-1.5749940872192385,-3.0036213397979736,-0.3569346070289612,-7.636531352996826,-7.474724769592285,-7.905324459075928,-2.3522000312805176,-4.273780822753906,-0.2627911865711212,-7.674686431884766,-8.48202133178711,-7.186293601989746,-1.952668070793152,-5.182382106781006,-0.2676876783370971,-6.065652847290039,-2.555061101913452,-8.158061027526855,-10.084826469421388,-5.809988975524902,-4.419960498809815,-6.462071895599365,-6.14230489730835,-6.183138847351074,-5.1093597412109375,-7.1205878257751465,-6.684515476226807,-5.951377868652344,-6.315091133117676,-6.857047080993652,-7.635764122009277,-6.131630420684815,-8.732062339782715,-5.903656482696533,-6.254573345184326,-6.618577003479004,-8.705185890197754,-6.48839807510376,-7.763086318969727,-1.034546136856079,-0.2324649542570114,-0.2776751518249511,-0.7942408919334412,-14.91545867919922,-26.61371612548828
16,-4.427391529083252,-5.359804630279541,-8.309744834899902,-3.8877205848693848,-0.7424395084381104,-1.7158246040344238,-4.052680015563965,-4.438130855560303,-7.669282913208008,-1.3961334228515625,-1.1966617107391355,-1.2697086334228516,-2.6339480876922607,-4.027652263641357,-9.219001770019531,-3.0568108558654785,-1.2176297903060913,-3.268993854522705,-4.388570785522461,-4.9936957359313965,-8.772722244262695,-2.6781539916992188,-2.3226709365844727,-0.4288339018821716,-6.933741569519043,-7.931893348693848,-9.299749374389648,-2.876835823059082,-4.429364204406738,-0.159701332449913,-6.3951616287231445,-7.618718147277832,-8.946796417236328,-2.7169408798217773,-3.83464789390564,-0.2651814818382263,-5.515855312347412,-2.144660234451294,-8.286371231079102,-10.247913360595703,-5.106785774230957,-2.726428747177124,-7.4845147132873535,-7.911098480224609,-4.72693395614624,-1.7272332906723022,-6.985868453979492,-8.784669876098633,-4.82479190826416,-4.849170207977295,-5.49653434753418,-7.623204708099365,-6.558328628540039,-9.129783630371094,-6.372402667999268,-8.311277389526367,-6.05047607421875,-6.922939300537109,-5.979857921600342,-8.45246696472168,-0.1276894211769104,-0.4399086236953735,-0.1856244951486587,-11.640380859375,-16.155170440673828,-19.22227096557617
19,-4.434733867645264,-5.716483116149902,-6.9417595863342285,-3.010464191436768,-0.8904930949211121,-1.1319812536239624,-6.665843486785889,-7.150270462036133,-8.098816871643066,-2.925170660018921,-4.266949653625488,-0.2469174265861511,-7.810154438018799,-8.21304702758789,-8.555392265319824,-2.658996105194092,-4.86732816696167,-0.1594900637865066,-9.036455154418944,-9.467686653137209,-9.258544921875,-3.292952060699463,-6.3485846519470215,-0.0752645507454872,-8.785573959350586,-9.281657218933104,-8.879582405090332,-2.868347883224488,-5.624697208404541,-0.1166732981801033,-8.531973838806152,-9.288970947265623,-9.153923034667969,-3.2719039916992188,-6.113582611083984,-0.1306380182504654,-5.601970195770264,-2.6777000427246094,-7.592799663543701,-9.570212364196776,-6.71572732925415,-7.383922576904297,-6.217737197875977,-7.288048267364502,-6.901364803314209,-7.919992923736572,-6.692018508911133,-7.637124061584473,-7.553067684173584,-10.495515823364258,-7.138031482696533,-7.724878787994385,-7.635790824890137,-11.105303764343262,-6.599899768829346,-7.098614692687988,-7.485872268676758,-10.053744316101074,-6.598748683929443,-7.737887859344482,-0.9117646217346193,-3.492337703704834,-1.1282061338424685,-14.436296463012695,-12.631427764892578,-15.2476224899292
17,-5.026307106018066,-5.2394208908081055,-7.7332658767700195,-3.688295125961304,-0.6519498825073242,-1.2673728466033936,-4.575076580047607,-4.406933784484863,-7.727357387542725,-1.4128317832946775,-0.8945997953414917,-1.668282985687256,-6.107596397399902,-6.455516338348389,-7.736297607421875,-2.122255325317383,-3.192659378051758,-0.5242921113967896,-6.904954433441162,-6.653897285461426,-7.5623908042907715,-2.9322104454040527,-3.7672626972198486,-0.6921572089195251,-7.187985897064209,-7.117509365081787,-8.885709762573242,-4.41979455947876,-3.9138107299804688,-1.7174370288848877,-7.41183614730835,-6.475098133087158,-11.411394119262695,-7.422372817993164,-3.193479061126709,-4.988574981689453,-5.966290473937988,-2.40435004234314,-8.151655197143555,-9.491802215576172,-5.86672830581665,-4.044092655181885,-7.024297714233398,-6.626338481903076,-6.264043807983398,-6.578126907348633,-5.820724487304688,-6.184037208557129,-6.715022563934326,-7.595373153686523,-6.373450756072998,-5.116021156311035,-8.078167915344238,-9.238125801086426,-6.937417507171631,-5.982646942138672,-8.137779235839844,-8.962040901184082,-9.575631141662598,-6.671097278594971,-0.2652976810932159,-0.2031357735395431,-1.242903709411621,-12.812932968139648,-8.810453414916992,-21.128013610839844
